Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Critic_Score_Class
Wii,Sports,Nintendo,"41,36","28,96","3,77","8,45","82,54",E,Bueno
Wii,Racing,Nintendo,"15,68","12,8","3,79","3,29","35,57",E,Excelente
Wii,Sports,Nintendo,"15,61","10,95","3,28","2,95","32,78",E,Excelente
DS,Platform,Nintendo,"11,28","9,15","6,5","2,88","29,81",E,Excelente
Wii,Misc,Nintendo,"13,96","9,18","2,93","2,84","28,92",E,Malo
Wii,Platform,Nintendo,"14,48","6,95","4,7","2,25","28,38",E,Excelente
DS,Racing,Nintendo,"9,71","7,48","4,13","1,9","23,22",E,Excelente
Wii,Sports,Nintendo,"8,92","8,03","3,6","2,15","22,7",E,Excelente
X360,Misc,Microsoft Game Studios,"15,02","4,91","0,24","1,69","21,86",E,Aceptable
Wii,Sports,Nintendo,"9,01","8,49","2,53","1,77","21,79",E,Excelente
PS3,Action,Take-Two Interactive,"7,02","9,14","0,98","3,97","21,12",M,Excelente
PS2,Action,Take-Two Interactive,"9,43","0,4","0,41","10,57","20,81",M,Excelente
DS,Misc,Nintendo,"4,74","9,2","4,16","2,04","20,15",E,Bueno
X360,Action,Take-Two Interactive,"9,66","5,17","0,06","1,41","16,3",M,Excelente
PS2,Action,Take-Two Interactive,"8,41","5,49","0,47","1,78","16,15",M,Excelente
DS,Puzzle,Nintendo,"3,43","5,35","5,32","1,18","15,29",E,Bueno
PS2,Racing,Sony Computer Entertainment,"6,85","5,09","1,87","1,16","14,98",E,Excelente
X360,Shooter,Activision,"9,06","4,26","0,13","1,33","14,77",M,Excelente
X360,Shooter,Activision,"9,73","3,7","0,11","1,13","14,67",M,Excelente
PS3,Shooter,Activision,"4,99","5,73","0,65","2,42","13,79",M,Excelente
X360,Shooter,Activision,"8,25","4,26","0,07","1,12","13,69",M,Excelente
X360,Shooter,Activision,"8,52","3,6","0,08","1,28","13,48",M,Excelente
PS4,Action,Take-Two Interactive,"4,12","6,77","0,39","2,08","13,36",M,Excelente
PS3,Shooter,Activision,"5,54","5,73","0,49","1,57","13,32",M,Excelente
